# Server version 0.05 running on mouhyi-laptop:8126
# Game ID: 10
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Fri Apr 19 01:39:59 EDT 2013
# Player 1: Player1, 'UCTRAVE', running on localhost
# Player 2: Player2, 'UCT', running on localhost
START Player1 UCTRAVE
START Player2 UCT
1 BLACK -1 -4
2 WHITE 0 0
1 WHITE 0 -3
2 BLACK 1 4
1 BLACK 4 2
2 WHITE 0 -1
1 WHITE 2 -1
2 BLACK 4 4
1 BLACK 4 1
2 WHITE 3 -1
1 BLACK 3 2
2 BLACK -2 1
1 WHITE 4 0
2 BLACK 1 0
1 WHITE 2 -2
2 BLACK 3 4
1 BLACK -3 -4
2 BLACK -2 -3
1 BLACK -3 -2
2 BLACK -2 -1
1 WHITE 0 1
2 BLACK 0 2
1 BLACK 4 3
2 WHITE -3 -3
1 WHITE 1 -3
2 BLACK -2 2
1 BLACK 0 -2
2 WHITE 1 -1
1 WHITE -1 2
2 BLACK 1 1
1 WHITE -1 1
2 BLACK -1 3
1 WHITE 2 3
2 BLACK -4 -1
1 BLACK -1 -1
GAMEOVER TIMEOUT Player2
WINNER Player1
# Game ended: Fri Apr 19 01:41:57 EDT 2013
