# Server version 0.05 running on mouhyi-laptop:8126
# Game ID: 14
# Board class: odd.OddBoard
# Timeout: 8000
# Date: Fri Apr 19 02:01:59 EDT 2013
# Player 1: Player1, 'UCT', running on localhost
# Player 2: Player2, 'UCTRAVE', running on localhost
START Player1 UCT
START Player2 UCTRAVE
1 WHITE -2 -3
2 WHITE -3 -4
1 WHITE 1 0
2 BLACK 3 -1
1 WHITE 1 -1
2 WHITE 2 -2
1 WHITE -2 0
2 BLACK -4 -3
1 BLACK 2 0
2 BLACK 3 0
1 WHITE 2 2
2 BLACK 0 -3
1 BLACK 2 -1
2 BLACK 4 0
1 BLACK 1 4
2 BLACK -1 -2
1 BLACK -1 -1
2 BLACK 1 -3
1 BLACK 3 1
2 WHITE 1 -2
1 BLACK -3 -2
2 WHITE 4 2
1 BLACK -4 -2
2 BLACK 0 -1
1 BLACK 1 3
2 WHITE 0 0
1 BLACK 4 1
2 BLACK -1 1
1 WHITE -4 -4
2 BLACK 1 1
1 WHITE -3 -1
2 WHITE -2 -1
1 BLACK 2 3
2 BLACK -2 2
1 BLACK 0 -4
2 WHITE 3 3
1 BLACK -4 -1
2 BLACK 2 1
1 WHITE -1 -3
2 BLACK 4 4
1 BLACK -1 0
2 BLACK 3 2
1 BLACK -1 2
2 BLACK 0 -2
1 BLACK 1 2
2 WHITE -3 0
1 WHITE 3 4
2 BLACK 4 3
1 BLACK -3 1
2 BLACK -2 -2
1 BLACK -4 0
2 WHITE -2 1
1 BLACK -2 -4
2 WHITE -3 -3
1 WHITE 0 3
2 BLACK 0 2
1 BLACK -1 -4
2 WHITE -1 3
1 WHITE 0 1
2 WHITE 0 4
1 BLACK 2 4
GAMEOVER 
WINNER Player2
# Game ended: Fri Apr 19 02:05:19 EDT 2013
